instance,dimension,run,best_known,greedy_cost,greedy_time_s,greedy_gap_pct,meta_cost,meta_time_s,meta_gap_pct,gain_pct
att48,48,1,10628,12861,0.000212,21.0105,10802,0.506158,1.6372,16.0096
att48,48,2,10628,12861,0.000212,21.0105,10772,0.567344,1.3549,16.2429
att48,48,3,10628,12861,0.000212,21.0105,10782,0.841505,1.449,16.1652
att48,48,4,10628,12861,0.000212,21.0105,10772,0.55117,1.3549,16.2429
att48,48,5,10628,12861,0.000212,21.0105,10772,0.513542,1.3549,16.2429
bayg29,29,1,1610,2005,0.000103,24.5342,1646,0.246762,2.236,17.9052
bayg29,29,2,1610,2005,0.000103,24.5342,1661,0.24568,3.1677,17.1571
bayg29,29,3,1610,2005,0.000103,24.5342,1662,0.258917,3.2298,17.1072
bayg29,29,4,1610,2005,0.000103,24.5342,1626,0.248072,0.9938,18.9027
bayg29,29,5,1610,2005,0.000103,24.5342,1630,0.236185,1.2422,18.7032
bays29,29,1,2020,2258,9.4e-05,11.7822,2020,0.269366,0.0,10.5403
bays29,29,2,2020,2258,9.4e-05,11.7822,2026,0.282695,0.297,10.2746
bays29,29,3,2020,2258,9.4e-05,11.7822,2026,0.238982,0.297,10.2746
bays29,29,4,2020,2258,9.4e-05,11.7822,2026,0.250308,0.297,10.2746
bays29,29,5,2020,2258,9.4e-05,11.7822,2026,0.27451,0.297,10.2746
berlin52,52,1,7542,8980,0.000265,19.0666,7986,0.684119,5.887,11.069
berlin52,52,2,7542,8980,0.000265,19.0666,7800,0.695166,3.4208,13.1403
berlin52,52,3,7542,8980,0.000265,19.0666,7941,0.632974,5.2904,11.5702
berlin52,52,4,7542,8980,0.000265,19.0666,7941,0.719626,5.2904,11.5702
berlin52,52,5,7542,8980,0.000265,19.0666,7968,0.530076,5.6484,11.2695
brazil58,58,1,25395,30774,0.000299,21.1813,25633,0.695417,0.9372,16.7057
brazil58,58,2,25395,30774,0.000299,21.1813,25704,0.717222,1.2168,16.4749
brazil58,58,3,25395,30774,0.000299,21.1813,25628,1.09895,0.9175,16.7219
brazil58,58,4,25395,30774,0.000299,21.1813,25983,0.632003,2.3154,15.5683
brazil58,58,5,25395,30774,0.000299,21.1813,25689,0.695044,1.1577,16.5237
burma14,14,1,3323,4048,4.7e-05,21.8176,3323,0.103714,0.0,17.9101
burma14,14,2,3323,4048,4.7e-05,21.8176,3323,0.094066,0.0,17.9101
burma14,14,3,3323,4048,4.7e-05,21.8176,3323,0.105146,0.0,17.9101
burma14,14,4,3323,4048,4.7e-05,21.8176,3323,0.1171,0.0,17.9101
burma14,14,5,3323,4048,4.7e-05,21.8176,3323,0.10093,0.0,17.9101
ch130,130,1,6110,7579,0.001335,24.0426,6672,2.998401,9.198,11.9673
ch130,130,2,6110,7579,0.001335,24.0426,6763,3.223862,10.6874,10.7666
ch130,130,3,6110,7579,0.001335,24.0426,6607,3.227684,8.1342,12.8249
ch130,130,4,6110,7579,0.001335,24.0426,6531,3.210561,6.8903,13.8277
ch130,130,5,6110,7579,0.001335,24.0426,6621,2.886979,8.3633,12.6402
ch150,150,1,6528,8191,0.001795,25.4749,6827,4.135277,4.5803,16.6524
ch150,150,2,6528,8191,0.001795,25.4749,6785,4.26613,3.9369,17.1652
ch150,150,3,6528,8191,0.001795,25.4749,6777,4.324022,3.8143,17.2628
ch150,150,4,6528,8191,0.001795,25.4749,6785,4.135119,3.9369,17.1652
ch150,150,5,6528,8191,0.001795,25.4749,6752,4.777388,3.4314,17.5681
eil101,101,1,629,803,0.001344,27.663,675,1.728057,7.3132,15.9402
eil101,101,2,629,803,0.001344,27.663,679,2.258893,7.9491,15.4421
eil101,101,3,629,803,0.001344,27.663,662,2.568705,5.2464,17.5592
eil101,101,4,629,803,0.001344,27.663,655,1.784041,4.1335,18.4309
eil101,101,5,629,803,0.001344,27.663,669,1.688369,6.3593,16.6874
eil51,51,1,426,511,0.000239,19.9531,456,0.540168,7.0423,10.7632
eil51,51,2,426,511,0.000239,19.9531,447,0.526584,4.9296,12.5245
eil51,51,3,426,511,0.000239,19.9531,468,0.556293,9.8592,8.4149
eil51,51,4,426,511,0.000239,19.9531,436,0.569504,2.3474,14.6771
eil51,51,5,426,511,0.000239,19.9531,435,0.640057,2.1127,14.8728
eil76,76,1,538,642,0.000449,19.3309,572,1.1234,6.3197,10.9034
eil76,76,2,538,642,0.000449,19.3309,572,1.23107,6.3197,10.9034
eil76,76,3,538,642,0.000449,19.3309,570,1.130535,5.948,11.215
eil76,76,4,538,642,0.000449,19.3309,558,1.119954,3.7175,13.0841
eil76,76,5,538,642,0.000449,19.3309,566,1.138178,5.2045,11.838
fri26,26,1,937,1112,0.000102,18.6766,955,0.181093,1.921,14.1187
fri26,26,2,937,1112,0.000102,18.6766,955,0.198543,1.921,14.1187
fri26,26,3,937,1112,0.000102,18.6766,959,0.191194,2.3479,13.759
fri26,26,4,937,1112,0.000102,18.6766,955,0.206604,1.921,14.1187
fri26,26,5,937,1112,0.000102,18.6766,961,0.196948,2.5614,13.5791
gr17,17,1,2085,2187,4.6e-05,4.8921,2085,0.286308,0.0,4.6639
gr17,17,2,2085,2187,4.6e-05,4.8921,2085,0.404485,0.0,4.6639
gr17,17,3,2085,2187,4.6e-05,4.8921,2085,0.410301,0.0,4.6639
gr17,17,4,2085,2187,4.6e-05,4.8921,2085,0.175752,0.0,4.6639
gr17,17,5,2085,2187,4.6e-05,4.8921,2085,0.200394,0.0,4.6639
gr21,21,1,2707,3333,0.000101,23.1252,2707,0.226449,0.0,18.7819
gr21,21,2,2707,3333,0.000101,23.1252,2877,0.309593,6.28,13.6814
gr21,21,3,2707,3333,0.000101,23.1252,2707,0.657613,0.0,18.7819
gr21,21,4,2707,3333,0.000101,23.1252,2707,0.181425,0.0,18.7819
gr21,21,5,2707,3333,0.000101,23.1252,2707,0.153164,0.0,18.7819
gr24,24,1,1272,1553,0.000127,22.0912,1272,0.151695,0.0,18.094
gr24,24,2,1272,1553,0.000127,22.0912,1272,0.172889,0.0,18.094
gr24,24,3,1272,1553,0.000127,22.0912,1272,0.17323,0.0,18.094
gr24,24,4,1272,1553,0.000127,22.0912,1278,0.186821,0.4717,17.7077
gr24,24,5,1272,1553,0.000127,22.0912,1278,0.144219,0.4717,17.7077
kroA100,100,1,21282,27807,0.000811,30.6597,21514,2.228466,1.0901,22.631
kroA100,100,2,21282,27807,0.000811,30.6597,21572,2.11686,1.3627,22.4224
