generation,best_cost
0,12861
1,12762
2,12762
3,12762
4,12251
5,12251
6,12251
7,11985
8,11579
9,11350
10,11322
11,11322
12,11125
13,10984
14,10817
15,10782
16,10782
17,10782
18,10782
19,10782
20,10782
21,10782
22,10782
23,10782
24,10782
25,10782
26,10782
27,10782
28,10782
29,10782
30,10782
31,10782
32,10782
33,10782
34,10782
35,10782
36,10782
37,10782
38,10782
39,10782
40,10782
41,10782
42,10782
43,10782
44,10782
45,10782
46,10782
47,10782
48,10782
49,10782
50,10782
51,10782
52,10782
53,10782
54,10782
55,10782
56,10782
57,10782
58,10782
59,10782
60,10782
61,10782
62,10782
63,10782
64,10782
65,10782
66,10782
67,10782
68,10782
69,10782
70,10782
71,10782
72,10782
73,10782
74,10782
75,10782
76,10782
77,10782
78,10782
79,10782
80,10782
81,10782
82,10782
83,10782
84,10782
85,10782
86,10782
87,10782
88,10782
89,10782
90,10782
