generation,best_cost
0,1983
1,1983
2,1983
3,1983
4,1983
5,1884
6,1867
7,1867
8,1867
9,1820
10,1789
11,1753
12,1753
13,1753
14,1705
15,1689
16,1687
17,1661
18,1661
19,1643
20,1643
21,1635
22,1635
23,1635
24,1635
25,1635
26,1630
27,1630
28,1630
29,1630
30,1630
31,1630
32,1630
33,1630
34,1630
35,1630
36,1630
37,1630
38,1630
39,1630
40,1630
41,1630
42,1630
43,1630
44,1630
45,1630
46,1630
47,1630
48,1630
49,1630
50,1630
51,1630
52,1630
53,1630
54,1630
55,1630
56,1630
57,1630
58,1630
59,1630
60,1630
61,1630
62,1630
63,1630
64,1630
65,1630
66,1630
67,1630
68,1630
69,1630
70,1630
71,1630
72,1630
73,1630
74,1630
75,1630
76,1630
77,1630
78,1630
79,1630
80,1630
81,1630
82,1630
83,1630
84,1630
85,1630
86,1630
87,1630
88,1630
89,1630
90,1630
