generation,best_cost
0,8953
1,8953
2,8920
3,8920
4,8601
5,8598
6,8461
7,8458
8,8458
9,8228
10,8152
11,8152
12,8152
13,8152
14,8152
15,8152
16,8152
17,8152
18,8152
19,8152
20,8152
21,8152
22,8152
23,8152
24,8152
25,8152
26,8152
27,8152
28,8152
29,8030
30,8030
31,8030
32,8030
33,8030
34,8030
35,8006
36,8006
37,8006
38,8006
39,8006
40,8006
41,8006
42,8006
43,8006
44,8006
45,8006
46,8006
47,8006
48,8006
49,8006
50,8006
51,8006
52,8006
53,8006
54,8006
55,8006
56,8006
57,8006
58,8006
59,8006
60,8006
61,8006
62,8006
63,8006
64,8006
65,8006
66,7992
67,7992
68,7992
69,7992
70,7992
71,7992
72,7992
73,7800
74,7800
75,7800
76,7800
77,7800
78,7800
79,7800
80,7800
81,7800
82,7800
83,7800
84,7800
85,7800
86,7800
87,7800
88,7800
89,7800
90,7800
