generation,best_cost
0,27384
1,27384
2,27209
3,27209
4,27209
5,27040
6,26646
7,26420
8,25991
9,25983
10,25983
11,25983
12,25983
13,25983
14,25983
15,25983
16,25983
17,25983
18,25983
19,25983
20,25983
21,25983
22,25983
23,25983
24,25983
25,25983
26,25983
27,25983
28,25983
29,25983
30,25983
31,25983
32,25983
33,25983
34,25983
35,25983
36,25983
37,25983
38,25983
39,25983
40,25983
41,25983
42,25983
43,25983
44,25983
45,25983
46,25983
47,25983
48,25983
49,25983
50,25983
51,25983
52,25983
53,25983
54,25983
55,25983
56,25983
57,25983
58,25983
59,25983
60,25983
61,25983
62,25983
63,25983
64,25983
65,25983
66,25983
67,25983
68,25983
69,25983
70,25983
71,25983
72,25983
73,25983
74,25983
75,25983
76,25983
77,25983
78,25983
79,25983
80,25983
81,25983
82,25983
83,25983
84,25983
85,25983
86,25983
87,25983
88,25983
89,25983
90,25983
