generation,best_cost
0,3841
1,3686
2,3686
3,3686
4,3371
5,3371
6,3323
7,3323
8,3323
9,3323
10,3323
11,3323
12,3323
13,3323
14,3323
15,3323
16,3323
17,3323
18,3323
19,3323
20,3323
21,3323
22,3323
23,3323
24,3323
25,3323
26,3323
27,3323
28,3323
29,3323
30,3323
31,3323
32,3323
33,3323
34,3323
35,3323
36,3323
37,3323
38,3323
39,3323
40,3323
41,3323
42,3323
43,3323
44,3323
45,3323
46,3323
47,3323
48,3323
49,3323
50,3323
51,3323
52,3323
53,3323
54,3323
55,3323
56,3323
57,3323
58,3323
59,3323
60,3323
61,3323
62,3323
63,3323
64,3323
65,3323
66,3323
67,3323
68,3323
69,3323
70,3323
71,3323
72,3323
73,3323
74,3323
75,3323
76,3323
77,3323
78,3323
79,3323
80,3323
81,3323
82,3323
83,3323
84,3323
85,3323
86,3323
87,3323
88,3323
89,3323
90,3323
