generation,best_cost
0,7129
1,7129
2,7129
3,7093
4,7093
5,7087
6,7061
7,7005
8,6989
9,6905
10,6905
11,6876
12,6855
13,6827
14,6827
15,6827
16,6827
17,6827
18,6827
19,6827
20,6827
21,6827
22,6827
23,6827
24,6827
25,6827
26,6827
27,6827
28,6827
29,6827
30,6827
31,6827
32,6827
33,6827
34,6827
35,6827
36,6827
37,6827
38,6827
39,6827
40,6827
41,6827
42,6827
43,6827
44,6827
45,6827
46,6827
47,6827
48,6827
49,6827
50,6827
51,6827
52,6827
53,6827
54,6827
55,6827
56,6785
57,6785
58,6785
59,6785
60,6785
61,6785
62,6785
63,6785
64,6785
65,6785
66,6785
67,6785
68,6785
69,6785
70,6785
71,6785
72,6785
73,6785
74,6785
75,6785
76,6785
77,6785
78,6785
79,6785
80,6785
81,6785
82,6785
83,6785
84,6785
85,6785
86,6785
87,6785
88,6785
89,6785
90,6785
