generation,best_cost
0,614
1,614
2,614
3,614
4,610
5,610
6,601
7,587
8,587
9,576
10,576
11,576
12,576
13,576
14,576
15,576
16,576
17,576
18,576
19,576
20,576
21,576
22,576
23,576
24,576
25,576
26,576
27,576
28,576
29,576
30,576
31,576
32,576
33,576
34,576
35,576
36,576
37,576
38,576
39,576
40,576
41,576
42,576
43,575
44,575
45,575
46,575
47,575
48,575
49,575
50,575
51,575
52,575
53,575
54,575
55,575
56,575
57,575
58,575
59,575
60,575
61,575
62,575
63,575
64,573
65,573
66,573
67,573
68,573
69,573
70,573
71,573
72,573
73,573
74,573
75,573
76,573
77,573
78,573
79,573
80,573
81,573
82,572
83,572
84,572
85,572
86,572
87,572
88,572
89,572
90,572
