generation,best_cost
0,987
1,987
2,987
3,974
4,961
5,961
6,961
7,961
8,961
9,961
10,961
11,961
12,961
13,961
14,961
15,961
16,961
17,961
18,961
19,961
20,961
21,961
22,961
23,961
24,961
25,961
26,961
27,961
28,961
29,961
30,961
31,961
32,961
33,961
34,961
35,961
36,961
37,961
38,961
39,961
40,961
41,961
42,961
43,961
44,961
45,961
46,961
47,961
48,961
49,961
50,961
51,961
52,961
53,961
54,961
55,961
56,961
57,961
58,961
59,961
60,961
61,961
62,961
63,961
64,961
65,961
66,961
67,961
68,961
69,961
70,961
71,961
72,961
73,961
74,961
75,961
76,961
77,961
78,961
79,961
80,961
81,961
82,961
83,961
84,961
85,961
86,961
87,961
88,961
89,961
90,961
