generation,best_cost
0,1553
1,1553
2,1545
3,1545
4,1420
5,1420
6,1420
7,1392
8,1376
9,1362
10,1362
11,1362
12,1362
13,1362
14,1355
15,1355
16,1355
17,1355
18,1355
19,1355
20,1355
21,1348
22,1348
23,1331
24,1331
25,1331
26,1331
27,1331
28,1331
29,1331
30,1331
31,1331
32,1331
33,1331
34,1331
35,1331
36,1331
37,1331
38,1331
39,1331
40,1331
41,1331
42,1319
43,1319
44,1319
45,1298
46,1298
47,1298
48,1298
49,1298
50,1298
51,1298
52,1298
53,1298
54,1298
55,1298
56,1298
57,1278
58,1278
59,1278
60,1278
61,1278
62,1278
63,1278
64,1278
65,1278
66,1278
67,1278
68,1278
69,1278
70,1278
71,1278
72,1278
73,1278
74,1278
75,1278
76,1278
77,1278
78,1278
79,1278
80,1278
81,1278
82,1278
83,1278
84,1278
85,1278
86,1278
87,1278
88,1278
89,1278
90,1278
