generation,best_cost
0,24698
1,24698
2,24315
3,24255
4,24255
5,24230
6,24230
7,23922
8,23396
9,23062
10,22806
11,22769
12,22237
13,22043
14,22043
15,21807
16,21807
17,21807
18,21807
19,21807
20,21807
21,21807
22,21807
23,21807
24,21807
25,21807
26,21807
27,21807
28,21807
29,21807
30,21807
31,21807
32,21807
33,21807
34,21807
35,21807
36,21807
37,21807
38,21807
39,21807
40,21807
41,21807
42,21807
43,21807
44,21807
45,21807
46,21807
47,21572
48,21572
49,21572
50,21572
51,21572
52,21572
53,21572
54,21572
55,21572
56,21572
57,21572
58,21572
59,21572
60,21572
61,21572
62,21572
63,21572
64,21572
65,21572
66,21572
67,21572
68,21572
69,21572
70,21572
71,21572
72,21572
73,21572
74,21572
75,21572
76,21572
77,21572
78,21572
79,21572
80,21572
81,21572
82,21572
83,21572
84,21572
85,21572
86,21572
87,21572
88,21572
89,21572
90,21572
