generation,best_cost
0,26710
1,26710
2,26710
3,26133
4,26133
5,25887
6,25834
7,25292
8,25292
9,24869
10,24869
11,24694
12,24694
13,24482
14,24482
15,24014
16,23938
17,23868
18,23868
19,23587
20,23556
21,23549
22,23461
23,23388
24,23388
25,23388
26,23388
27,23388
28,23388
29,23388
30,23388
31,23388
32,23388
33,23388
34,23388
35,23388
36,23388
37,23388
38,23388
39,23388
40,23388
41,23388
42,23293
43,23293
44,23293
45,23173
46,22959
47,22959
48,22959
49,22959
50,22959
51,22959
52,22959
53,22959
54,22959
55,22959
56,22959
57,22959
58,22959
59,22959
60,22959
61,22959
62,22959
63,22959
64,22959
65,22959
66,22959
67,22959
68,22959
69,22959
70,22959
71,22959
72,22959
73,22959
74,22959
75,22959
76,22959
77,22959
78,22959
79,22959
80,22959
81,22959
82,22959
83,22959
84,22959
85,22959
86,22959
87,22959
88,22959
89,22959
90,22959
