generation,best_cost
0,17098
1,17098
2,17098
3,17098
4,17016
5,17016
6,16995
7,16982
8,16982
9,16938
10,16938
11,16938
12,16776
13,16776
14,16776
15,16593
16,16593
17,16547
18,16361
19,16136
20,15855
21,15682
22,15662
23,15594
24,15528
25,15432
26,15374
27,15357
28,15215
29,15215
30,15215
31,15215
32,15215
33,15215
34,15215
35,15215
36,15215
37,15215
38,15215
39,15215
40,15215
41,15215
42,15215
43,15215
44,15215
45,15215
46,15215
47,15215
48,15215
49,15215
50,15215
51,15215
52,15215
53,15215
54,15215
55,15215
56,15215
57,15215
58,15215
59,15215
60,15215
61,15215
62,15215
63,15215
64,15215
65,15215
66,15215
67,15215
68,15215
69,15215
70,15215
71,15215
72,15215
73,15215
74,15215
75,15215
76,15215
77,15215
78,15215
79,15215
80,15215
81,15215
82,15215
83,15215
84,15215
85,15215
86,15215
87,15215
88,15215
89,15215
90,15215
