generation,best_cost
0,139635
1,139635
2,139410
3,139410
4,138976
5,134700
6,134525
7,134115
8,133197
9,131171
10,131171
11,131171
12,131171
13,129833
14,129733
15,129733
16,128754
17,128335
18,128335
19,127942
20,127784
21,126169
22,126169
23,125802
24,125555
25,125545
26,125545
27,125545
28,125545
29,125545
30,125545
31,125545
32,125545
33,125545
34,125545
35,125545
36,125545
37,125545
38,125545
39,125545
40,125545
41,125545
42,125545
43,125545
44,125545
45,125545
46,125545
47,125545
48,125545
49,125545
50,125404
51,125404
52,125404
53,125404
54,125404
55,125404
56,125404
57,125265
58,125265
59,123720
60,121699
61,121663
62,121624
63,120943
64,119583
65,118872
66,118872
67,118872
68,118872
69,118872
70,118872
71,118872
72,118872
73,118872
74,118872
75,118872
76,118872
77,118872
78,118872
79,118872
80,118872
81,118872
82,118872
83,118872
84,118872
85,118872
86,118872
87,118872
88,118872
89,118872
90,118872
