generation,best_cost
0,1454
1,1454
2,1441
3,1422
4,1400
5,1400
6,1386
7,1367
8,1337
9,1337
10,1310
11,1299
12,1291
13,1286
14,1286
15,1286
16,1286
17,1286
18,1286
19,1286
20,1286
21,1286
22,1286
23,1286
24,1286
25,1286
26,1286
27,1286
28,1286
29,1286
30,1286
31,1286
32,1286
33,1286
34,1286
35,1286
36,1286
37,1286
38,1286
39,1275
40,1275
41,1275
42,1275
43,1275
44,1275
45,1275
46,1275
47,1275
48,1275
49,1275
50,1275
51,1275
52,1275
53,1275
54,1275
55,1275
56,1275
57,1275
58,1275
59,1275
60,1275
61,1275
62,1275
63,1275
64,1275
65,1275
66,1275
67,1275
68,1275
69,1275
70,1275
71,1275
72,1275
73,1275
74,1275
75,1275
76,1275
77,1275
78,1275
79,1275
80,1275
81,1275
82,1275
83,1275
84,1275
85,1275
86,1275
87,1275
88,1275
89,1270
90,1270
