generation,best_cost
0,9707
1,9707
2,9707
3,9707
4,9639
5,9639
6,9542
7,9390
8,9268
9,9239
10,9180
11,9180
12,9169
13,8963
14,8963
15,8874
16,8765
17,8726
18,8689
19,8609
20,8609
21,8609
22,8609
23,8609
24,8609
25,8609
26,8609
27,8609
28,8609
29,8609
30,8609
31,8609
32,8609
33,8609
34,8609
35,8609
36,8609
37,8609
38,8609
39,8609
40,8609
41,8609
42,8609
43,8609
44,8609
45,8609
46,8609
47,8609
48,8609
49,8609
50,8609
51,8609
52,8609
53,8609
54,8609
55,8609
56,8609
57,8609
58,8609
59,8609
60,8609
61,8609
62,8609
63,8609
64,8609
65,8609
66,8609
67,8609
68,8609
69,8609
70,8609
71,8609
72,8609
73,8609
74,8609
75,8609
76,8609
77,8609
78,8609
79,8609
80,8609
81,8609
82,8609
83,8609
84,8609
85,8609
86,8609
87,8609
88,8606
89,8606
90,8606
