generation,best_cost
0,796
1,796
2,796
3,796
4,783
5,776
6,776
7,767
8,751
9,745
10,740
11,734
12,731
13,731
14,731
15,729
16,729
17,729
18,729
19,728
20,728
21,728
22,728
23,728
24,728
25,728
26,728
27,728
28,728
29,728
30,728
31,728
32,728
33,728
34,728
35,728
36,728
37,728
38,728
39,728
40,728
41,728
42,728
43,728
44,728
45,728
46,728
47,728
48,728
49,728
50,728
51,728
52,728
53,728
54,728
55,728
56,728
57,728
58,728
59,728
60,728
61,728
62,728
63,728
64,728
65,728
66,728
67,728
68,728
69,728
70,728
71,728
72,728
73,728
74,728
75,728
76,728
77,728
78,728
79,728
80,728
81,728
82,728
83,728
84,728
85,728
86,728
87,728
88,728
89,728
90,728
