instance,dimension,best_known,greedy_cost,greedy_time_s,greedy_gap_pct,meta_best_cost,meta_mean_cost,meta_time_mean_s,gain_best_pct,gain_mean_pct,meta_best_gap_pct
burma14,14,3323,4048,4.7e-05,21.8176,3323,3323.0,0.1041912,17.9101,17.9101,0.0
gr17,17,2085,2187,4.6e-05,4.8921,2085,2085.0,0.29544800000000004,4.6639,4.6639,0.0
gr21,21,2707,3333,0.000101,23.1252,2707,2741.0,0.3056488,18.7819,17.7618,0.0
gr24,24,1272,1553,0.000127,22.0912,1272,1274.4,0.1657708,18.094,17.93948,0.0
fri26,26,937,1112,0.000102,18.6766,955,957.0,0.1948764,14.1187,13.938839999999999,1.921
bayg29,29,1610,2005,0.000103,24.5342,1626,1645.0,0.24712320000000002,18.9027,17.95508,0.9938
bays29,29,2020,2258,9.4e-05,11.7822,2020,2024.8,0.26317219999999997,10.5403,10.32774,0.0
att48,48,10628,12861,0.000212,21.0105,10772,10780.0,0.5959438,16.2429,16.180699999999998,1.3549
eil51,51,426,511,0.000239,19.9531,435,448.4,0.5665212000000001,14.8728,12.250499999999999,2.1127
berlin52,52,7542,8980,0.000265,19.0666,7800,7927.2,0.6523922,13.1403,11.72384,3.4208
brazil58,58,25395,30774,0.000299,21.1813,25628,25727.4,0.7677272,16.7219,16.3989,0.9175
st70,70,675,830,0.000651,22.963,710,724.8,1.014451,14.4578,12.6747,5.1852
pr76,76,108159,153462,0.000471,41.8856,113116,116634.6,1.348754,26.2905,23.99774,4.5831
eil76,76,538,642,0.000449,19.3309,558,567.6,1.1486274,13.0841,11.58878,3.7175
rat99,99,1211,1554,0.001391,28.3237,1270,1281.6,1.9839156,18.2754,17.52896,4.872
kroA100,100,21282,27807,0.000811,30.6597,21514,21665.8,2.1958714,22.631,22.085079999999998,1.0901
rd100,100,7910,9938,0.001316,25.6384,8358,8522.6,2.5768552,15.8986,14.2423,5.6637
kroB100,100,22141,29158,0.001288,31.6923,22959,23256.0,2.142082,21.26,20.24144,3.6945
eil101,101,629,803,0.001344,27.663,655,668.0,2.005613,18.4309,16.81196,4.1335
lin105,105,14379,20356,0.001427,41.5676,14736,15047.2,2.3642962,27.6086,26.0798,2.4828
ch130,130,6110,7579,0.001335,24.0426,6531,6638.8,3.1094974,13.8277,12.405339999999999,6.8903
ch150,150,6528,8191,0.001795,25.4749,6752,6785.2,4.327587200000001,17.5681,17.16274,3.4314
